Timestamp_ms,GPS_Year,GPS_Month,GPS_Day,GPS_Hour,GPS_Min,GPS_Sec,Time_Valid,Accel_X(G),Accel_Y(G),Accel_Z(G),Gyro_X(deg/s),Gyro_Y(deg/s),Gyro_Z(deg/s),Altitude(m),Latitude,Longitude
5190,0,0,0,0,0,0,0,0.243408203125,-0.950927734375,0.131591796875,-22.42279052734375,15.5181884765625,-0.1983642578125,546.0681762695312,0.0,0.0
5244,0,0,0,0,0,0,0,0.325927734375,-0.90771484375,0.198974609375,91.1407470703125,-37.322998046875,-5.31005859375,546.0681762695312,0.0,0.0
5298,0,0,0,0,0,0,0,0.259033203125,-0.873779296875,0.287109375,212.1429443359375,-25.13885498046875,40.496826171875,546.0681762695312,0.0,0.0
5352,0,0,0,0,0,0,0,0.2060546875,-0.876953125,0.54345703125,185.943603515625,-15.777587890625,28.3355712890625,546.0681762695312,0.0,0.0
5406,0,0,0,0,0,0,0,0.178466796875,-0.74853515625,0.697509765625,249.99237060546875,-14.9688720703125,46.15020751953125,546.0681762695312,0.0,0.0
5460,0,0,0,0,0,0,0,0.20166015625,-0.475341796875,0.954833984375,238.30413818359375,0.80108642578125,32.63092041015625,546.0681762695312,0.0,0.0
5514,0,0,0,0,0,0,0,0.174560546875,-0.310302734375,0.969970703125,249.99237060546875,-4.9591064453125,64.3157958984375,546.0681762695312,0.0,0.0
5568,0,0,0,0,0,0,0,0.113525390625,-0.05712890625,1.218994140625,204.93316650390625,-8.61358642578125,18.4326171875,546.0681762695312,0.0,0.0
5622,0,0,0,0,0,0,0,0.13671875,0.1796875,1.06640625,249.99237060546875,3.31878662109375,18.4326171875,546.0681762695312,0.0,0.0
5676,0,0,0,0,0,0,0,0.15234375,0.42578125,0.9970703125,249.99237060546875,-1.3427734375,33.07342529296875,546.0681762695312,0.0,0.0
5730,0,0,0,0,0,0,0,0.1484375,0.662353515625,0.79296875,249.99237060546875,4.425048828125,22.247314453125,546.0681762695312,0.0,0.0
5785,0,0,0,0,0,0,0,0.186767578125,0.82958984375,0.726318359375,132.42340087890625,-0.11444091796875,14.99176025390625,546.0681762695312,0.0,0.0
5839,0,0,0,0,0,0,0,0.180419921875,0.84716796875,0.560791015625,177.5360107421875,1.9378662109375,23.62823486328125,546.0681762695312,0.0,0.0
5893,0,0,0,0,0,0,0,0.196044921875,0.910400390625,0.469970703125,71.563720703125,6.0577392578125,7.8125,546.892578125,0.0,0.0
5947,0,0,0,0,0,0,0,0.20947265625,0.961181640625,0.42333984375,44.6929931640625,2.73895263671875,5.5389404296875,546.892578125,0.0,0.0
6001,0,0,0,0,0,0,0,0.23779296875,0.89013671875,0.394287109375,-88.19580078125,-1.99127197265625,-9.37652587890625,546.892578125,0.0,0.0
6055,0,0,0,0,0,0,0,0.2265625,0.809814453125,0.632568359375,-250.0,34.32464599609375,-100.15106201171875,546.892578125,0.0,0.0
6109,0,0,0,0,0,0,0,0.058837890625,0.544189453125,0.987060546875,-250.0,56.12945556640625,-61.21826171875,546.892578125,0.0,0.0
6163,0,0,0,0,0,0,0,0.04150390625,-0.025634765625,1.12548828125,-250.0,20.69854736328125,-43.853759765625,546.892578125,0.0,0.0
6217,0,0,0,0,0,0,0,0.01123046875,-0.2900390625,1.135009765625,-250.0,26.85546875,-38.79547119140625,546.892578125,0.0,0.0
6271,0,0,0,0,0,0,0,0.015625,-0.547607421875,0.88671875,-250.0,37.3992919921875,-52.7801513671875,546.892578125,0.0,0.0
6327,0,0,0,0,0,0,0,0.03173828125,-0.82373046875,0.7138671875,-250.0,44.51751708984375,-51.29241943359375,546.892578125,0.0,0.0
6382,0,0,0,0,0,0,0,0.063720703125,-0.86279296875,0.470703125,-209.66339111328125,37.01019287109375,-29.0985107421875,546.892578125,0.0,0.0
6436,0,0,0,0,0,0,0,0.05322265625,-0.94189453125,0.432373046875,-69.29779052734375,14.0228271484375,-7.94219970703125,546.892578125,0.0,0.0
6490,0,0,0,0,0,0,0,0.039306640625,-0.95458984375,0.378173828125,-28.64837646484375,7.25555419921875,-0.8544921875,546.892578125,0.0,0.0
6541,0,0,0,0,0,0,0,0.068115234375,-0.908447265625,0.416015625,62.53814697265625,-25.04730224609375,5.7220458984375,546.892578125,0.0,0.0
6595,0,0,0,0,0,0,0,0.06982421875,-0.87158203125,0.561767578125,249.99237060546875,-49.4842529296875,26.8707275390625,546.892578125,0.0,0.0
6649,0,0,0,0,0,0,0,0.017578125,-0.928955078125,0.62646484375,23.46038818359375,-4.23431396484375,-3.70025634765625,546.892578125,0.0,0.0
6703,0,0,0,0,0,0,0,0.059814453125,-0.989990234375,0.60107421875,137.8326416015625,-24.90234375,23.6358642578125,546.892578125,0.0,0.0
6757,0,0,0,0,0,0,0,0.03271484375,-0.71484375,0.783203125,248.138427734375,-32.41729736328125,29.50286865234375,546.892578125,0.0,0.0
6811,0,0,0,0,0,0,0,0.048828125,-0.562255859375,0.976806640625,249.99237060546875,-26.2603759765625,36.73553466796875,546.892578125,0.0,0.0
6865,0,0,0,0,0,0,0,0.04052734375,-0.33154296875,1.05810546875,244.5068359375,-0.43487548828125,21.52252197265625,548.0023193359375,0.0,0.0
6919,0,0,0,0,0,0,0,0.04833984375,0.003173828125,1.07763671875,249.99237060546875,-13.40484619140625,28.00750732421875,548.0023193359375,0.0,0.0
6973,0,0,0,0,0,0,0,0.073486328125,0.26513671875,1.103271484375,249.99237060546875,2.70843505859375,29.45709228515625,548.0023193359375,0.0,0.0
7027,0,0,0,0,0,0,0,0.0869140625,0.514404296875,1.015625,249.99237060546875,-1.9073486328125,40.44342041015625,548.0023193359375,0.0,0.0
7081,0,0,0,0,0,0,0,0.123046875,0.7685546875,0.83056640625,249.99237060546875,-1.88446044921875,51.79595947265625,548.0023193359375,0.0,0.0
7135,0,0,0,0,0,0,0,0.14208984375,0.802734375,0.672119140625,144.75250244140625,0.05340576171875,34.2559814453125,548.0023193359375,0.0,0.0
7189,0,0,0,0,0,0,0,0.1416015625,0.903076171875,0.592529296875,110.41259765625,-8.4686279296875,31.33392333984375,548.0023193359375,0.0,0.0
7243,0,0,0,0,0,0,0,0.1787109375,0.911376953125,0.521484375,49.86572265625,-6.20269775390625,13.2598876953125,548.0023193359375,0.0,0.0
7297,0,0,0,0,0,0,0,0.190185546875,0.9091796875,0.505126953125,10.24627685546875,-5.401611328125,9.59014892578125,548.0023193359375,0.0,0.0
7351,0,0,0,0,0,0,0,0.1904296875,0.8388671875,0.50830078125,-169.22760009765625,3.8604736328125,-33.74481201171875,548.0023193359375,0.0,0.0
7405,0,0,0,0,0,0,0,0.06689453125,0.785400390625,0.822265625,-250.0,33.0963134765625,-90.58380126953125,548.0023193359375,0.0,0.0
7459,0,0,0,0,0,0,0,0.0419921875,0.40576171875,1.1357421875,-250.0,27.7252197265625,-28.9154052734375,548.0023193359375,0.0,0.0
7517,0,0,0,0,0,0,0,0.03662109375,0.1494140625,1.05224609375,-250.0,12.51220703125,-38.7420654296875,548.0023193359375,0.0,0.0
7571,0,0,0,0,0,0,0,0.017822265625,-0.25830078125,1.2138671875,-250.0,28.2745361328125,-19.1497802734375,548.0023193359375,0.0,0.0
7625,0,0,0,0,0,0,0,-0.02783203125,-0.449462890625,1.010009765625,-250.0,23.01788330078125,-32.867431640625,548.0023193359375,0.0,0.0
7679,0,0,0,0,0,0,0,0.02783203125,-0.740478515625,0.915771484375,-250.0,25.94757080078125,-47.47772216796875,548.0023193359375,0.0,0.0
7733,0,0,0,0,0,0,0,-0.000244140625,-0.770263671875,0.70458984375,-250.0,17.18902587890625,-28.63311767578125,548.0023193359375,0.0,0.0
