Timestamp_ms,GPS_Year,GPS_Month,GPS_Day,GPS_Hour,GPS_Min,GPS_Sec,Time_Valid,Accel_X(G),Accel_Y(G),Accel_Z(G),Gyro_X(deg/s),Gyro_Y(deg/s),Gyro_Z(deg/s),Baro_Altitude(m),Latitude,Longitude,GPS_Altitude(m),PDOP,Fix_Type,Satellites,SpeedLeft,SpeedRight,Vbus,Iq,RPM_TIM2CH1,RPM_TIM5CH2,Temp1,Temp2
15321,1980,1,6,0,0,54,0,0.009521484375,1.00439453125,0.222900390625,3.60107421875,1.1749267578125,-0.95367431640625,561.7685546875,0.0,0.0,-17.0,99.98999786376953,0,0,0.0,5.654797077178955,0.0,0.0,59.9992561340332,0.0,27.0,27.3125
15371,1980,1,6,0,0,54,0,0.0283203125,0.990478515625,0.266357421875,12.21466064453125,-2.7923583984375,4.18853759765625,561.7685546875,0.0,0.0,-17.0,99.98999786376953,0,0,0.0,5.654797077178955,0.0,0.0,59.9992561340332,0.0,27.0,27.3125
15421,1980,1,6,0,0,54,0,0.007568359375,1.006591796875,0.243408203125,3.08990478515625,1.36566162109375,1.54876708984375,561.7685546875,0.0,0.0,-17.0,99.98999786376953,0,0,0.0,5.654797077178955,0.0,0.0,59.9992561340332,0.0,27.0,27.3125
15471,1980,1,6,0,0,54,0,0.012939453125,1.00390625,0.21728515625,4.85992431640625,0.32806396484375,0.41961669921875,561.7685546875,0.0,0.0,-17.0,99.98999786376953,0,0,0.0,5.654797077178955,0.0,0.0,59.9992561340332,0.0,27.0,27.3125
15521,1980,1,6,0,0,54,0,0.019775390625,1.00146484375,0.221923828125,7.01904296875,0.3814697265625,1.15203857421875,561.7685546875,0.0,0.0,-17.0,99.98999786376953,0,0,0.0,5.654797077178955,0.0,0.0,59.9992561340332,0.0,27.0,27.3125
15571,1980,1,6,0,0,54,0,0.013916015625,0.998046875,0.224365234375,6.072998046875,1.19781494140625,-0.02288818359375,561.7685546875,0.0,0.0,-17.0,99.98999786376953,0,0,0.0,5.654797077178955,0.0,0.0,59.9992561340332,0.0,27.0,27.3125
15621,1980,1,6,0,0,54,0,0.013916015625,1.004638671875,0.212890625,0.2899169921875,2.60162353515625,-0.2288818359375,561.7685546875,0.0,0.0,-17.0,99.98999786376953,0,0,0.0,5.654797077178955,0.0,0.0,59.9992561340332,0.0,27.0,27.3125
15671,1980,1,6,0,0,54,0,0.009033203125,1.007568359375,0.2529296875,6.52313232421875,0.885009765625,0.11444091796875,561.7685546875,0.0,0.0,-17.0,99.98999786376953,0,0,0.0,5.654797077178955,0.0,0.0,59.9992561340332,0.0,27.0,27.3125
15721,1980,1,6,0,0,54,0,0.010498046875,1.00244140625,0.238037109375,0.1678466796875,2.03704833984375,0.06866455078125,561.7685546875,0.0,0.0,-17.0,99.98999786376953,0,0,0.0,5.654797077178955,0.0,0.0,59.9992561340332,0.0,27.0,27.3125
15771,1980,1,6,0,0,54,0,0.027099609375,1.00537109375,0.223388671875,3.85284423828125,1.64794921875,-0.3204345703125,561.591552734375,0.0,0.0,-17.0,99.98999786376953,0,0,0.0,5.654797077178955,0.0,0.0,59.9992561340332,0.0,27.0,27.3125
15821,1980,1,6,0,0,54,0,0.010986328125,1.00927734375,0.195068359375,0.1220703125,2.25830078125,0.0762939453125,561.591552734375,0.0,0.0,-17.0,99.98999786376953,0,0,0.0,5.654797077178955,0.0,0.0,59.9992561340332,0.0,27.0,27.3125
15871,1980,1,6,0,0,54,0,0.0185546875,1.017578125,0.20947265625,2.25067138671875,4.21142578125,-0.06103515625,561.591552734375,0.0,0.0,-17.0,99.98999786376953,0,0,0.0,5.654797077178955,0.0,0.0,59.9992561340332,0.0,27.0,27.3125
15921,1980,1,6,0,0,54,0,0.025146484375,0.997802734375,0.24072265625,1.4190673828125,2.5787353515625,-1.94549560546875,561.591552734375,0.0,0.0,-17.0,99.98999786376953,0,0,0.0,5.654797077178955,0.0,0.0,59.9992561340332,0.0,27.0,27.3125
15971,1980,1,6,0,0,54,0,0.016845703125,1.009765625,0.165283203125,1.77001953125,4.73785400390625,0.45013427734375,561.591552734375,0.0,0.0,-17.0,99.98999786376953,0,0,0.0,5.654797077178955,0.0,0.0,59.9992561340332,0.0,27.0,27.3125
16021,1980,1,6,0,0,54,0,0.015380859375,1.003173828125,0.212890625,5.401611328125,1.28173828125,-0.640869140625,561.591552734375,0.0,0.0,-17.0,99.98999786376953,0,0,0.0,5.654797077178955,0.0,0.0,59.9992561340332,0.0,27.0,27.3125
16071,1980,1,6,0,0,55,0,0.019775390625,0.996826171875,0.19384765625,-0.72479248046875,4.08935546875,-1.251220703125,561.591552734375,0.0,0.0,-17.0,99.98999786376953,0,0,0.0,5.654797077178955,0.0,0.0,59.9992561340332,0.0,27.0,27.3125
16121,1980,1,6,0,0,55,0,0.0146484375,1.00732421875,0.21533203125,3.6163330078125,-0.091552734375,-1.39617919921875,561.591552734375,0.0,0.0,-17.0,99.98999786376953,0,0,0.0,5.654797077178955,0.0,0.0,59.9992561340332,0.0,27.0,27.3125
16171,1980,1,6,0,0,55,0,0.001708984375,1.0048828125,0.222412109375,-0.1068115234375,2.8076171875,-1.44195556640625,561.591552734375,0.0,0.0,-17.0,99.98999786376953,0,0,0.0,5.654797077178955,0.0,0.0,59.9992561340332,0.0,27.0,27.3125
16221,1980,1,6,0,0,55,0,0.013671875,1.013671875,0.191162109375,-3.7841796875,4.608154296875,-0.823974609375,561.591552734375,0.0,0.0,-17.0,99.98999786376953,0,0,0.0,5.654797077178955,0.0,0.0,59.9992561340332,0.0,27.0,27.3125
16271,1980,1,6,0,0,55,0,0.066650390625,1.001953125,0.255615234375,4.28009033203125,-1.42669677734375,0.79345703125,561.591552734375,0.0,0.0,-17.0,99.98999786376953,0,0,0.0,5.654797077178955,0.0,0.0,59.9992561340332,0.0,27.1875,27.3125
16321,1980,1,6,0,0,55,0,0.007568359375,1.005126953125,0.2333984375,6.00433349609375,2.5482177734375,1.129150390625,561.591552734375,0.0,0.0,-17.0,99.98999786376953,0,0,0.0,5.654797077178955,0.0,0.0,59.9992561340332,0.0,27.1875,27.3125
16371,1980,1,6,0,0,55,0,0.001708984375,0.998779296875,0.26025390625,5.98907470703125,0.17547607421875,1.312255859375,561.591552734375,0.0,0.0,-17.0,99.98999786376953,0,0,0.0,5.654797077178955,0.0,0.0,59.9992561340332,0.0,27.1875,27.3125
16421,1980,1,6,0,0,55,0,0.012939453125,1.007080078125,0.197998046875,13.25225830078125,-0.43487548828125,5.6915283203125,561.591552734375,0.0,0.0,-17.0,99.98999786376953,0,0,0.0,5.654797077178955,0.0,0.0,59.9992561340332,0.0,27.1875,27.3125
16471,1980,1,6,0,0,55,0,0.013916015625,0.99560546875,0.2724609375,9.3841552734375,1.5869140625,-1.068115234375,561.591552734375,0.0,0.0,-17.0,99.98999786376953,0,0,0.0,5.654797077178955,0.0,0.0,59.9992561340332,0.0,27.1875,27.3125
16521,1980,1,6,0,0,55,0,0.005615234375,1.007080078125,0.218994140625,0.70953369140625,0.38909912109375,0.1983642578125,561.591552734375,0.0,0.0,-17.0,99.98999786376953,0,0,0.0,5.654797077178955,0.0,0.0,59.9992561340332,0.0,27.1875,27.3125
16571,1980,1,6,0,0,55,0,0.009521484375,1.004638671875,0.245361328125,1.8463134765625,2.0904541015625,-1.16729736328125,561.591552734375,0.0,0.0,-17.0,99.98999786376953,0,0,0.0,5.654797077178955,0.0,0.0,59.9992561340332,0.0,27.1875,27.3125
16621,1980,1,6,0,0,55,0,0.0087890625,1.006591796875,0.221923828125,-1.71661376953125,2.5482177734375,-0.74005126953125,561.591552734375,0.0,0.0,-17.0,99.98999786376953,0,0,0.0,5.654797077178955,0.0,0.0,59.9992561340332,0.0,27.1875,27.3125
16671,1980,1,6,0,0,55,0,0.018310546875,1.00341796875,0.19287109375,-0.69427490234375,2.98309326171875,-0.84686279296875,561.591552734375,0.0,0.0,-17.0,99.98999786376953,0,0,0.0,5.654797077178955,0.0,0.0,59.9992561340332,0.0,27.1875,27.3125
16721,1980,1,6,0,0,55,0,0.005859375,1.001708984375,0.224609375,1.9989013671875,2.08282470703125,-0.42724609375,562.5401000976562,0.0,0.0,-17.0,99.98999786376953,0,0,0.0,5.654797077178955,0.0,0.0,59.9992561340332,0.0,27.1875,27.3125
16771,1980,1,6,0,0,55,0,0.006103515625,1.003662109375,0.24609375,3.4637451171875,1.25885009765625,-0.41961669921875,562.5401000976562,0.0,0.0,-17.0,99.98999786376953,0,0,0.0,5.654797077178955,0.0,0.0,59.9992561340332,0.0,27.1875,27.3125
16821,1980,1,6,0,0,55,0,0.024658203125,1.004150390625,0.2451171875,2.227783203125,2.32696533203125,-1.09100341796875,562.5401000976562,0.0,0.0,-17.0,99.98999786376953,0,0,0.0,5.654797077178955,0.0,0.0,59.9992561340332,0.0,27.1875,27.3125
16871,1980,1,6,0,0,55,0,0.00732421875,0.9970703125,0.22998046875,3.3721923828125,2.349853515625,-1.31988525390625,562.5401000976562,0.0,0.0,-17.0,99.98999786376953,0,0,0.0,5.654797077178955,0.0,0.0,59.9992561340332,0.0,27.1875,27.3125
16921,1980,1,6,0,0,55,0,0.00732421875,0.9970703125,0.22998046875,3.41796875,2.2735595703125,-1.27410888671875,562.5401000976562,0.0,0.0,-17.0,99.98999786376953,0,0,0.0,5.654797077178955,0.0,0.0,59.9992561340332,0.0,27.1875,27.3125
16971,1980,1,6,0,0,55,0,0.010498046875,1.00244140625,0.233642578125,3.6163330078125,2.08282470703125,-0.3509521484375,562.5401000976562,0.0,0.0,-17.0,99.98999786376953,0,0,0.0,5.654797077178955,0.0,0.0,59.9992561340332,0.0,27.1875,27.3125
17021,1980,1,6,0,0,55,0,0.021484375,1.003173828125,0.17626953125,1.33514404296875,3.11279296875,-0.66375732421875,562.5401000976562,0.0,0.0,-17.0,99.98999786376953,0,0,0.0,5.654797077178955,0.0,0.0,59.9992561340332,0.0,27.1875,27.3125
17071,1980,1,6,0,0,56,0,0.013427734375,1.003173828125,0.218017578125,5.10406494140625,1.7547607421875,0.69427490234375,562.5401000976562,0.0,0.0,-17.0,99.98999786376953,0,0,0.0,5.654797077178955,0.0,0.0,59.9992561340332,0.0,27.1875,27.3125
17121,1980,1,6,0,0,56,0,0.008056640625,1.002685546875,0.21630859375,1.2359619140625,3.30352783203125,0.03814697265625,562.5401000976562,0.0,0.0,-17.0,99.98999786376953,0,0,0.0,5.654797077178955,0.0,0.0,59.9992561340332,0.0,27.1875,27.3125
17171,1980,1,6,0,0,56,0,0.010986328125,1.005859375,0.215576171875,2.685546875,2.4261474609375,-0.61798095703125,562.5401000976562,0.0,0.0,-17.0,99.98999786376953,0,0,0.0,5.654797077178955,0.0,0.0,59.9992561340332,0.0,27.1875,27.3125
17221,1980,1,6,0,0,56,0,0.007568359375,1.0009765625,0.224853515625,3.0364990234375,2.2430419921875,0.5645751953125,562.5401000976562,0.0,0.0,-17.0,99.98999786376953,0,0,0.0,5.654797077178955,0.0,0.0,59.9992561340332,0.0,27.1875,27.3125
17271,1980,1,6,0,0,56,0,0.00048828125,1.011962890625,0.212158203125,-3.41033935546875,5.18798828125,-1.708984375,562.5401000976562,0.0,0.0,-17.0,99.98999786376953,0,0,0.0,5.654797077178955,0.0,0.0,59.9992561340332,0.0,27.1875,27.3125
17321,1980,1,6,0,0,56,0,-0.001708984375,1.0078125,0.259033203125,9.552001953125,-0.84686279296875,2.64739990234375,562.5401000976562,0.0,0.0,-17.0,99.98999786376953,0,0,0.0,5.654797077178955,0.0,0.0,59.9992561340332,0.0,27.1875,27.3125
17371,1980,1,6,0,0,56,0,0.00927734375,1.00146484375,0.20556640625,3.92913818359375,1.06048583984375,0.9765625,562.5401000976562,0.0,0.0,-17.0,99.98999786376953,0,0,0.0,5.654797077178955,0.0,0.0,59.9992561340332,0.0,27.1875,27.3125
17421,1980,1,6,0,0,56,0,-0.01318359375,1.009033203125,0.172607421875,5.37109375,-0.06866455078125,2.3956298828125,562.5401000976562,0.0,0.0,-17.0,99.98999786376953,0,0,0.0,5.654797077178955,0.0,0.0,59.9992561340332,0.0,27.1875,27.3125
17471,1980,1,6,0,0,56,0,0.01171875,1.009033203125,0.21240234375,4.39453125,1.89208984375,0.40435791015625,562.5401000976562,0.0,0.0,-17.0,99.98999786376953,0,0,0.0,5.654797077178955,0.0,0.0,59.9992561340332,0.0,27.1875,27.3125
17521,1980,1,6,0,0,56,0,0.01123046875,1.006591796875,0.221435546875,2.89154052734375,2.7618408203125,-0.08392333984375,562.5401000976562,0.0,0.0,-17.0,99.98999786376953,0,0,0.0,5.654797077178955,0.0,0.0,59.9992561340332,0.0,27.1875,27.3125
17571,1980,1,6,0,0,56,0,0.01611328125,1.0029296875,0.219970703125,5.22613525390625,1.800537109375,0.6561279296875,562.5401000976562,0.0,0.0,-17.0,99.98999786376953,0,0,0.0,5.654797077178955,0.0,0.0,59.9992561340332,0.0,27.1875,27.3125
17621,1980,1,6,0,0,56,0,0.009033203125,1.001220703125,0.23583984375,4.33349609375,2.0599365234375,0.25177001953125,562.5401000976562,0.0,0.0,-17.0,99.98999786376953,0,0,0.0,5.654797077178955,0.0,0.0,59.9992561340332,0.0,27.1875,27.3125
17671,1980,1,6,0,0,56,0,0.008056640625,1.00341796875,0.23828125,6.20269775390625,0.9307861328125,0.90789794921875,561.5809936523438,0.0,0.0,-17.0,99.98999786376953,0,0,0.0,5.654797077178955,0.0,0.0,59.9992561340332,0.0,27.1875,27.3125
17721,1980,1,6,0,0,56,0,0.010498046875,1.005126953125,0.21826171875,2.2735595703125,2.4261474609375,-0.2899169921875,561.5809936523438,0.0,0.0,-17.0,99.98999786376953,0,0,0.0,5.654797077178955,0.0,0.0,59.9992561340332,0.0,27.1875,27.3125
17771,1980,1,6,0,0,56,0,0.0087890625,1.00341796875,0.22265625,3.1585693359375,1.42669677734375,0.17547607421875,561.5809936523438,0.0,0.0,-17.0,99.98999786376953,0,0,0.0,5.654797077178955,0.0,0.0,59.9992561340332,0.0,27.1875,27.3125
17821,1980,1,6,0,0,56,0,0.01416015625,1.0078125,0.21875,6.011962890625,1.861572265625,0.00762939453125,561.5809936523438,0.0,0.0,-17.0,99.98999786376953,0,0,0.0,5.654797077178955,0.0,0.0,59.9992561340332,0.0,27.1875,27.3125
