Timestamp_ms,GPS_Year,GPS_Month,GPS_Day,GPS_Hour,GPS_Min,GPS_Sec,Time_Valid,Accel_X(G),Accel_Y(G),Accel_Z(G),Gyro_X(deg/s),Gyro_Y(deg/s),Gyro_Z(deg/s),Baro_Altitude(m),Latitude,Longitude,GPS_Altitude(m),PDOP,Fix_Type,Satellites
3177316352,0,123,63,0,64,184,62,3.74603271484375,1.739501953125,-0.1983642578125,560.3021240234375,0.0,0.0,-17.0,99.98999786376953,6.902532920683853e-31,2.8287096058187527e-34,1.017815577380388e-28,14,0
3177316352,20480,123,63,0,224,184,62,3.57818603515625,1.953125,-0.22125244140625,560.3021240234375,0.0,0.0,-17.0,99.98999786376953,8.997944700177166e-31,2.8287096058187527e-34,1.017815577380388e-28,14,0
3178823680,61440,122,63,0,160,182,62,3.662109375,1.91497802734375,-0.16021728515625,560.3021240234375,0.0,0.0,-17.0,99.98999786376953,1.2079432611196743e-30,2.8287096058187527e-34,1.017815577380388e-28,14,0
3177578496,12288,122,63,0,64,182,62,3.387451171875,1.96075439453125,-0.457763671875,560.3021240234375,0.0,0.0,-17.0,99.98999786376953,1.516092052221632e-30,2.8287096058187527e-34,1.017815577380388e-28,14,0
3176660992,16384,122,63,0,160,181,62,3.41033935546875,1.86920166015625,-0.49591064453125,560.3021240234375,0.0,0.0,-17.0,99.98999786376953,2.070759876205156e-30,2.8287096058187527e-34,1.017815577380388e-28,14,0
3176529920,36864,122,63,0,96,181,62,3.7384033203125,1.76239013671875,-0.23651123046875,559.8264770507812,0.0,0.0,-17.0,99.98999786376953,2.6870574584090715e-30,2.8287096058187527e-34,1.017815577380388e-28,14,0
3176988672,28672,122,63,0,96,183,62,3.73077392578125,2.02178955078125,-0.11444091796875,559.8264770507812,0.0,0.0,-17.0,99.98999786376953,3.4512664603419266e-30,2.8287096058187527e-34,1.017815577380388e-28,14,0
3177840640,24576,123,63,0,192,181,62,3.7841796875,1.88446044921875,-0.32806396484375,559.8264770507812,0.0,0.0,-17.0,99.98999786376953,4.7578173346142275e-30,2.8287096058187527e-34,1.017815577380388e-28,14,0
3176267776,0,122,63,0,160,182,62,3.51715087890625,1.79290771484375,-0.28228759765625,559.8264770507812,0.0,0.0,-17.0,99.98999786376953,5.9904124990220584e-30,2.8287096058187527e-34,1.017815577380388e-28,14,0
3177906176,20480,122,63,0,224,180,62,4.0435791015625,1.89971923828125,-0.3814697265625,559.8264770507812,0.0,0.0,-17.0,99.98999786376953,8.135128085091684e-30,2.8287096058187527e-34,1.017815577380388e-28,14,0
3177709568,45056,122,63,0,96,182,62,3.97491455078125,1.8310546875,-0.34332275390625,559.8264770507812,0.0,0.0,-17.0,99.98999786376953,1.0600318413907346e-29,2.8287096058187527e-34,1.017815577380388e-28,14,0
3178430464,8192,123,63,0,96,186,62,3.48663330078125,1.8463134765625,-0.06103515625,559.8264770507812,0.0,0.0,-17.0,99.98999786376953,1.3509243001909827e-29,2.8287096058187527e-34,1.017815577380388e-28,14,0
3177578496,12288,123,63,0,128,182,62,3.5247802734375,1.800537109375,-0.48065185546875,559.8264770507812,0.0,0.0,-17.0,99.98999786376953,1.843962365954115e-29,2.8287096058187527e-34,1.017815577380388e-28,14,0
3178758144,20480,123,63,0,192,183,62,3.5858154296875,1.8310546875,-0.244140625,559.8264770507812,0.0,0.0,-17.0,99.98999786376953,2.3370004317172475e-29,2.8287096058187527e-34,1.017815577380388e-28,14,0
3177316352,45056,122,63,0,192,181,62,3.631591796875,1.89208984375,-0.38909912109375,559.8264770507812,0.0,0.0,-17.0,99.98999786376953,3.135722098253522e-29,2.8287096058187527e-34,1.017815577380388e-28,14,0
3177185280,24576,122,63,0,0,184,62,3.45611572265625,1.617431640625,0.05340576171875,559.8264770507812,0.0,0.0,-17.0,99.98999786376953,4.1217982297797867e-29,2.8287096058187527e-34,1.017815577380388e-28,14,0
